id,region,station_name,normalized_name
62,Jihomoravsky,"Temelín, okres: České Budějovice","Temelin,okres:CeskeBudejovice"
63,Jihomoravsky,"Černá v Pošumaví, okres: Český Krumlov","CernavPosumavi,okres:CeskyKrumlov"
64,Jihomoravsky,"Český Krumlov, okres: Český Krumlov","CeskyKrumlov,okres:CeskyKrumlov"
65,Jihomoravsky,"Český Krumlov, Přísečná, okres: Český Krumlov","CeskyKrumlov,Prisecna,okres:CeskyKrumlov"
66,Jihomoravsky,"Český Krumlov, Slupenec, okres: Český Krumlov","CeskyKrumlov,Slupenec,okres:CeskyKrumlov"
67,Jihomoravsky,"Horní Planá, Hůrka, okres: Český Krumlov","HorniPlana,Hurka,okres:CeskyKrumlov"
68,Jihomoravsky,"Křemže, Mříč, okres: Český Krumlov","Kremze,Mric,okres:CeskyKrumlov"
69,Jihomoravsky,"Vyšší Brod, okres: Český Krumlov","VyssiBrod,okres:CeskyKrumlov"
70,Jihomoravsky,"Chlum u Třeboně, okres: Jindřichův Hradec","ChlumuTrebone,okres:JindrichuvHradec"
71,Jihomoravsky,"Jindřichův Hradec, okres: Jindřichův Hradec","JindrichuvHradec,okres:JindrichuvHradec"
72,Jihomoravsky,"Jindřichův Hradec, Děbolín, okres: Jindřichův Hradec","JindrichuvHradec,Debolin,okres:JindrichuvHradec"
73,Jihomoravsky,"Třeboň, okres: Jindřichův Hradec","Trebon,okres:JindrichuvHradec"
74,Jihomoravsky,"Třeboň, Lužnice, okres: Jindřichův Hradec","Trebon,Luznice,okres:JindrichuvHradec"
75,Jihomoravsky,"Kestřany, okres: Písek","Kestrany,okres:Pisek"
76,Jihomoravsky,"Olešná, okres: Písek","Olesna,okres:Pisek"
77,Jihomoravsky,"Protivín, okres: Písek","Protivin,okres:Pisek"
78,Jihomoravsky,"Vráž, okres: Písek","Vraz,okres:Pisek"
79,Jihomoravsky,"Borová Lada, okres: Prachatice","BorovaLada,okres:Prachatice"
80,Jihomoravsky,"Hliniště, okres: Prachatice","Hliniste,okres:Prachatice"
81,Jihomoravsky,"Husinec, okres: Prachatice","Husinec,okres:Prachatice"
82,Jihomoravsky,"Churáňov, okres: Prachatice","Churanov,okres:Prachatice"
83,Jihomoravsky,"Churáňov, Zdíkov, okres: Prachatice","Churanov,Zdikov,okres:Prachatice"
84,Jihomoravsky,"Ktiš, Tisovka, okres: Prachatice","Ktis,Tisovka,okres:Prachatice"
85,Jihomoravsky,"Lenora, okres: Prachatice","Lenora,okres:Prachatice"
86,Jihomoravsky,"Lenora, Houžná, okres: Prachatice","Lenora,Houzna,okres:Prachatice"
87,Jihomoravsky,"Lhenice, okres: Prachatice","Lhenice,okres:Prachatice"
88,Jihomoravsky,"Markov, okres: Prachatice","Markov,okres:Prachatice"
89,Jihomoravsky,"Nová Pec, okres: Prachatice","NovaPec,okres:Prachatice"
90,Jihomoravsky,"Smědeč, okres: Prachatice","Smedec,okres:Prachatice"
91,Jihomoravsky,"Vimperk, okres: Prachatice","Vimperk,okres:Prachatice"
92,Jihomoravsky,"Volary, okres: Prachatice","Volary,okres:Prachatice"
93,Jihomoravsky,"Blatná, okres: Strakonice","Blatna,okres:Strakonice"
94,Jihomoravsky,"Chelčice, okres: Strakonice","Chelcice,okres:Strakonice"
95,Jihomoravsky,"Kocelovice, okres: Strakonice","Kocelovice,okres:Strakonice"
96,Jihomoravsky,"Sedlice, okres: Strakonice","Sedlice,okres:Strakonice"
97,Jihomoravsky,"Strakonice, okres: Strakonice","Strakonice,okres:Strakonice"
98,Jihomoravsky,"Vodňany, okres: Strakonice","Vodnany,okres:Strakonice"
99,Jihomoravsky,"Bechyně, okres: Tábor","Bechyne,okres:Tabor"
100,Jihomoravsky,"Borkovice, okres: Tábor","Borkovice,okres:Tabor"
101,Jihomoravsky,"Hlasivo, okres: Tábor","Hlasivo,okres:Tabor"
102,Jihomoravsky,"Nadějkov, Větrov, okres: Tábor","Nadejkov,Vetrov,okres:Tabor"
103,Jihomoravsky,"Tábor, okres: Tábor","Tabor,okres:Tabor"
104,Jihomoravsky,"Tábor, Měšice, okres: Tábor","Tabor,Mesice,okres:Tabor"
105,Jihomoravsky,"Tábor, Náchod, okres: Tábor","Tabor,Nachod,okres:Tabor"
106,Karlovarsky,"Domažlice, okres: Domažlice","Domazlice,okres:Domazlice"
107,Karlovarsky,"Libkov, okres: Domažlice","Libkov,okres:Domazlice"
108,Karlovarsky,"Mutěnín, okres: Domažlice","Mutenin,okres:Domazlice"
109,Karlovarsky,"Staňkov, okres: Domažlice","Stankov,okres:Domazlice"
110,Karlovarsky,"Horská Kvilda, okres: Klatovy","HorskaKvilda,okres:Klatovy"
111,Karlovarsky,"Hrádek, okres: Klatovy","Hradek,okres:Klatovy"
112,Karlovarsky,"Hrádek u Sušice, okres: Klatovy","HradekuSusice,okres:Klatovy"
113,Karlovarsky,"Kašperské Hory, okres: Klatovy","KasperskeHory,okres:Klatovy"
114,Karlovarsky,"Klatovy, okres: Klatovy","Klatovy,okres:Klatovy"
115,Karlovarsky,"Rokytská slať, okres: Klatovy","Rokytskaslat,okres:Klatovy"
116,Karlovarsky,"Sušice, okres: Klatovy","Susice,okres:Klatovy"
117,Karlovarsky,"Vlkonice, okres: Klatovy","Vlkonice,okres:Klatovy"
118,Karlovarsky,"Železná Ruda, Hojsova Stráž, okres: Klatovy","ZeleznaRuda,HojsovaStraz,okres:Klatovy"
119,Karlovarsky,"Nepomuk, okres: Plzeň-jih","Nepomuk,okres:Plzen-jih"
120,Karlovarsky,"Plzeň, Dobřany, okres: Plzeň-jih","Plzen,Dobrany,okres:Plzen-jih"
121,Karlovarsky,"Plzeň, město, okres: Plzeň-jih","Plzen,mesto,okres:Plzen-jih"
122,Karlovarsky,"Plzeň, Bolevec, okres: Plzeň-město","Plzen,Bolevec,okres:Plzen-mesto"
123,Karlovarsky,"Plzeň, Mikulka, okres: Plzeň-město","Plzen,Mikulka,okres:Plzen-mesto"
124,Karlovarsky,"Kralovice, okres: Plzeň-sever","Kralovice,okres:Plzen-sever"
125,Karlovarsky,"Plzeň, Bolevec, okres: Plzeň-sever","Plzen,Bolevec,okres:Plzen-sever"
126,Karlovarsky,"Zbiroh, Švabín, okres: Rokycany","Zbiroh,Svabin,okres:Rokycany"
127,Karlovarsky,"Konstantinovy Lázně, okres: Tachov","KonstantinovyLazne,okres:Tachov"
128,Karlovarsky,"Přimda, okres: Tachov","Primda,okres:Tachov"
129,Karlovarsky,"Stříbro, okres: Tachov","Stribro,okres:Tachov"
130,Karlovarsky,"Tachov, okres: Tachov","Tachov,okres:Tachov"
131,Vysocina,"Aš, okres: Cheb","As,okres:Cheb"
132,Vysocina,"Dyleň, okres: Cheb","Dylen,okres:Cheb"
133,Vysocina,"Františkovy Lázně, okres: Cheb","FrantiskovyLazne,okres:Cheb"
134,Vysocina,"Cheb, okres: Cheb","Cheb,okres:Cheb"
135,Vysocina,"Kynžvart, lázně, okres: Cheb","Kynzvart,lazne,okres:Cheb"
136,Vysocina,"Mariánské Lázně, okres: Cheb","MarianskeLazne,okres:Cheb"
137,Vysocina,"Mariánské Lázně, Skláře, okres: Cheb","MarianskeLazne,Sklare,okres:Cheb"
138,Vysocina,"Mariánské Lázně, vodárna, okres: Cheb","MarianskeLazne,vodarna,okres:Cheb"
139,Vysocina,"Jelení, okres: Karlovy Vary","Jeleni,okres:KarlovyVary"
140,Vysocina,"Karlovy Vary, okres: Karlovy Vary","KarlovyVary,okres:KarlovyVary"
141,Vysocina,"Karlovy Vary, Olšová Vrata, okres: Karlovy Vary","KarlovyVary,OlsovaVrata,okres:KarlovyVary"
142,Vysocina,"Klínovec, okres: Karlovy Vary","Klinovec,okres:KarlovyVary"
143,Vysocina,"Krásné Údolí, okres: Karlovy Vary","KrasneUdoli,okres:KarlovyVary"
144,Vysocina,"Nejdek, okres: Karlovy Vary","Nejdek,okres:KarlovyVary"
145,Vysocina,"Potůčky, okres: Karlovy Vary","Potucky,okres:KarlovyVary"
146,Vysocina,"Toužim, okres: Karlovy Vary","Touzim,okres:KarlovyVary"
147,Vysocina,"Královské Poříčí, okres: Sokolov","KralovskePorici,okres:Sokolov"
148,Vysocina,"Sokolov, okres: Sokolov","Sokolov,okres:Sokolov"
149,Vysocina,"Šindelová, Obora, okres: Sokolov","Sindelova,Obora,okres:Sokolov"
