id,branch,station_name
115,Hradec_Kralove,H2ROKY01
116,Hradec_Kralove,H2DEST01
117,Hradec_Kralove,H1VRCH01
118,Hradec_Kralove,H1VELI01
119,Hradec_Kralove,H1UPIC01
120,Hradec_Kralove,H1LUCB01
121,Hradec_Kralove,H1LBOU01
122,Hradec_Kralove,H3SVRA01
123,Hradec_Kralove,H3PARD01
124,Hradec_Kralove,H3CHTU01
125,Hradec_Kralove,H2POLO01
126,Hradec_Kralove,H2USTI01
127,Hradec_Kralove,H1PECS01
128,Hradec_Kralove,H2OZVO01
129,Hradec_Kralove,H4ODUL01
130,Hradec_Kralove,H4RBOU01
131,Hradec_Kralove,H4CEHO01
132,Hradec_Kralove,H4LUIS01
133,Hradec_Kralove,H4SUVR01
134,Hradec_Kralove,H2BORH01
135,Ostrava,O3ROZN01
136,Ostrava,O3VEKA01
137,Ostrava,O7KRAL01
138,Ostrava,O2BRAN01
139,Ostrava,O2DSDN01
140,Ostrava,O4CANT01
141,Ostrava,O4KOHU01
142,Ostrava,O4KUDL01
143,Ostrava,O2STIT01
144,Ostrava,O1UHNV01
145,Ostrava,O1VIDN01
146,Ostrava,O1CHLN01
147,Ostrava,O1NYFI01
148,Ostrava,O1HOLO01
149,Ostrava,O3KATE01
150,Ostrava,O1HZIV01
151,Ostrava,O2STER01
152,Ostrava,O2LANS01
153,Ostrava,O1FMOL01
154,Ostrava,O1MORK01
155,Ostrava,O2HANU01
156,Ostrava,O1HART01
157,Ostrava,O1ZARY01
158,Ostrava,O1ZLHO01
159,Ostrava,O3VASE01
160,Ostrava,O1RYMA01
161,Ostrava,O1KAST01
162,Ostrava,O3HOST01
163,Ostrava,O1JAVR01
164,Ostrava,O4KLEP01
165,Ostrava,O4BENE01
166,Ostrava,O3VSET01
167,Ostrava,O3VALM01
168,Ostrava,O3PRER01
169,Ostrava,O3MARU01
170,Ostrava,O3BECV01
171,Ostrava,O2TREB01
172,Ostrava,O2SUMP01
173,Ostrava,O2SLAM01
174,Ostrava,O2PASE01
175,Ostrava,O2PAPR01
176,Ostrava,O2OLOM01
177,Ostrava,O2LUKA01
178,Ostrava,O3POTB01
179,Ostrava,O2JEVI01
180,Ostrava,O2DUBI01
181,Ostrava,O1VITK01
182,Ostrava,O1SVET01
183,Ostrava,O1SERA01
184,Ostrava,O1ROPI01
185,Ostrava,O1PORU01
186,Ostrava,O1OSOB01
187,Ostrava,O1OSLZ01
188,Ostrava,O1OPAV01
189,Ostrava,O1MOSN01
190,Ostrava,O1LYSA01
191,Ostrava,O1LUCI01
192,Ostrava,O1KRNO01
193,Ostrava,O1KARV01
194,Ostrava,O1JESE01
195,Ostrava,O1JAVO01
196,Ostrava,O1JABL01
197,Ostrava,O1FREN01
198,Ostrava,O1CERV01
199,Ostrava,O1BOHU01
200,Ostrava,O1BILA01
201,Ostrava,O1BELO01
202,Ostrava,O4PAPR01
203,Ostrava,O4KATE01
204,Plzen,L1PIVO01
205,Plzen,L1SPIC01
206,Plzen,L3ABER01
207,Plzen,L2KVES01
208,Plzen,L7JUMO01
209,Plzen,L2PLAN01
210,Plzen,L2ZLUT01
211,Plzen,L2STRA01
212,Plzen,L1BORO01
213,Plzen,L1CKUB01
214,Plzen,L2DARM01
215,Plzen,L2TACH01
216,Plzen,L1CACH01
217,Plzen,L1LOVC01
218,Plzen,L2KOUN01
219,Plzen,L1NEZV01
220,Plzen,L1CHUD01
221,Plzen,L1ZRUD01
222,Plzen,L2ULIC01
223,Plzen,L1HTYN01
224,Plzen,L2BEZV01
225,Plzen,L2LIBL01
226,Plzen,L3STRA01
227,Plzen,L3BECO01
228,Plzen,L3LAZY01
229,Plzen,L2ROKY01
230,Plzen,L2TERE01
231,Plzen,L1STOD01
232,Plzen,L3LUBY01
233,Plzen,L3PREB01
234,Plzen,L3SOKO01
235,Plzen,L7ROLA01
236,Plzen,L7PLZD01
237,Plzen,L2STRI01
238,Plzen,L3KVAZ01
239,Plzen,L3SIND01
240,Plzen,L3NEJD01
241,Plzen,L3KVAL01
242,Plzen,L3KLIN01
243,Plzen,L3CHEB01
244,Plzen,L3AS0001
245,Plzen,L2ZBIR01
246,Plzen,L2PRIM01
247,Plzen,L2MLAV01
248,Plzen,L2KRAU01
249,Plzen,L2KRAL01
250,Plzen,L2KONL01
251,Plzen,L2HERM01
252,Plzen,L2DYLE01
253,Plzen,L1STAN01
254,Plzen,L1PLZB01
255,Plzen,L1PLMI01
256,Plzen,L1NEPO01
257,Plzen,L1KLAT01
258,Plzen,L1HOJS01
259,Plzen,L1DOMA01
260,Plzen,L4LAKY01
261,Plzen,L4TESL01
262,Plzen,L4RYBN01
263,Plzen,L4PERK01
264,Plzen,L2BELA01
265,Plzen,L2RAKO01
266,Praha,P3HABR01
267,Praha,P3MLVO01
268,Praha,P3BENS01
269,Praha,P1HUDL01
270,Praha,P1PKOM01
271,Praha,P4KOZA01
272,Praha,P4JDRO01
273,Praha,P2DBOU01
274,Praha,P3NETV01
275,Praha,P2KOST01
276,Praha,P2KATU01
277,Praha,P1HVOZ01
278,Praha,P2MRZK01
279,Praha,P2TURN01
280,Praha,P3VLAS01
281,Praha,P7KJRA01
282,Praha,P1KRAL01
283,Praha,P3HULI01
284,Praha,P1PKLE01
285,Praha,P3STAN01
286,Praha,P3PRIB01
287,Praha,P3ONDR01
288,Praha,P3NRYC01
289,Praha,P3NRUD01
290,Praha,P3KOSE01
291,Praha,P3HAVL01
292,Praha,P2TUHA01
293,Praha,P2SEMC01
294,Praha,P2KORE01
295,Praha,P2HOLE01
296,Praha,P2HARR01
297,Praha,P2DESN01
298,Praha,P2CDUB01
299,Praha,P2BRAN01
300,Praha,P7REZP01
301,Praha,P1PRUZ01
302,Praha,P1PRUH01
303,Praha,P1PRIB01
304,Praha,P1PLIB01
305,Praha,P1PKBE01
306,Praha,P1PKAR01
307,Praha,P1NEUM01
308,Praha,P1LANY01
309,Praha,P1DOBE01
310,Praha,P1PVIN01
311,Praha,P4POLA01
312,Praha,P4JABL01
313,Praha,P3REND01
314,Praha,P2DVOR01
315,Praha,P7ZRUC01
316,Usti_nad_Labem,U7VCHV01
317,Usti_nad_Labem,U1KLIN01
318,Usti_nad_Labem,U2SMED01
319,Usti_nad_Labem,U1SNEZ01
320,Usti_nad_Labem,U2DECI01
321,Usti_nad_Labem,U2HEJN01
322,Usti_nad_Labem,U7TOKA01
323,Usti_nad_Labem,U2VARN01
324,Usti_nad_Labem,U2STRR01
325,Usti_nad_Labem,U2LIBC01
326,Usti_nad_Labem,U2JAPO01
327,Usti_nad_Labem,U2DOKY01
328,Usti_nad_Labem,U2CELI01
329,Usti_nad_Labem,U2BEDR01
330,Usti_nad_Labem,U1ZATE01
331,Usti_nad_Labem,U1ULMA01
332,Usti_nad_Labem,U1ULKO01
333,Usti_nad_Labem,U1TEPL01
334,Usti_nad_Labem,U1STRJ01
335,Usti_nad_Labem,U1SMOL01
336,Usti_nad_Labem,U1NOVE01
337,Usti_nad_Labem,U1MILE01
338,Usti_nad_Labem,U1MEDE01
339,Usti_nad_Labem,U1KOPI01
340,Usti_nad_Labem,U1KATU01
341,Usti_nad_Labem,U1DOKS01
342,Usti_nad_Labem,U4PUST01
343,Usti_nad_Labem,U4ZAKO01
344,Usti_nad_Labem,U2FRYD01
